magnesium,calcium,hydrogencarbonat,kalium,natrium,chlorid,sulfat,title,id
24,99,325,13,7,32,78,1 Aqua Mineralwasser,297
18,26,142,1,11,19,19,1000 Wasser Classic,299
28,42,248,1,16,33,14,1000 Wasser Medium,300
18,26,142,1,11,19,19,1000 Wasser naturelle,301
23,118,297,10,8,41,121,1Aqua Nautrell (Dursty),304
10,45,209,2,28,19,26,57 Wasser,305
26,59,312,1,3,1,10,Abenstaler Quelle Classic,307
26,59,312,1,3,1,10,Abenstaler Quelle Naturell,308
26,59,312,0,2,1,10,Abenstaler Quelle Still,309
6,32,106,0,6,9,21,Acqua Panna,312
31,67,319,1,12,20,27,Active O2 (Tafelwasser mit Sauerstoff),316
39,579,284,0,7,7,1.268,Adelbodner Spezial,319
33,70,342,1,14,21,27,Adelholzener Classic,279
33,70,342,1,13,21,27,Adelholzener Extra Still,323
30,93,433,1,4,3,6,Adelholzener Naturell,324
33,70,342,1,14,21,27,Adelholzener Sanft,325
28,82,368,1,4,3,17,Adldorfer Medium,330
28,82,368,1,4,3,17,Adldorfer Spritzig,331
28,82,368,1,4,3,17,Adldorfer Still,332
29,136,347,19,68,73,243,Aegidius Brunnen Classic (Rheinlandquelle),334
40,50,610,10,190,100,90,Aegidius Brunnen Medium,335
74,88,918,9,156,55,33,Ahrquelle Medium,338
82,68,949,0,167,54,0,Ahrtalquelle Mineral Sprudel,339
17,31,148,12,4,13,26,Alasia Perle Medium,343
17,31,148,12,4,13,26,Alasia Perle Pur,344
17,31,148,12,4,13,26,Alasia Spritzig,345
75,417,407,5,16,7,989,Alb-Perle Classic,347
75,417,407,5,16,7,989,Alb-Perle Medium,348
30,57,339,1,8,0,8,Albertus Quelle Medium,350
32,56,338,2,9,1,9,Albertus Quelle mit Kohlensäure,351
32,56,338,2,9,1,9,Albertus Quelle mit wenig Kohlensäure,352
21,40,274,1,17,0,8,Allgäuer Alpenwasser Medium,358
21,40,275,1,18,1,7,Allgäuer Alpenwasser Sanft,359
21,40,274,1,17,1,8,Allgäuer Alpenwasser Spritzig,360
22,40,275,1,19,1,9,Allgäuer Alpenwasser Still,361
21,85,354,2,2,1,12,Aloisius Quelle Naturell,362
21,85,354,2,2,1,12,Aloisius Quelle Sanft,363
21,85,354,2,2,1,12,Aloisius Quelle Spritzig,364
11,105,497,0,40,0,0,Alosa Medium,365
11,105,467,0,40,0,0,Alosa Still,366
3,54,142,1,8,19,22,Alstertaler Classic,369
3,54,142,1,8,19,22,Alstertaler Medium,370
